"LINK CODE","ADVERTISER","LINK NAME","LINK ID","RETAIL PRICE","CATEGORY"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415515352&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fsupergoop-lipscreen-spf-40"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-816218023409-1.jpg?v=1655396230"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415515352&type=2&subid=0"" >","Bluemercury, Inc.","Lipscreen SPF 40","19415515352","22.0","Lip Sunscreens"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415512736&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Findie-lee-i-waken-eye-serum"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/variant_images-title-defaulttitle-702685964539-1.jpg?v=1655136995"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415512736&type=2&subid=0"" >","Bluemercury, Inc.","I-Waken Eye Serum","19415512736","48.0","Eye Serums"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415512502&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fpeter-thomas-roth-water-drench-broad-spectrum-spf-45-hyaluronic-cloud-moisturizer"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-670367936061-1.jpg?v=1655396067"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415512502&type=2&subid=0"" >","Bluemercury, Inc.","Water Drench® Broad Spectrum SPF 45 Hyaluronic Cloud Moisturizer","19415512502","55.0","Face Sunscreens"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415515156&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fjane-iredale-powder-me-spf-30-dry-sunscreen"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/variant_images-color-golden-670959114068-1.jpg?v=1655395848"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415515156&type=2&subid=0"" >","Bluemercury, Inc.","Powder-Me SPF® 30 Dry Sunscreen","19415515156","50.0","Face Sunscreens"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19860016838&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fnest-new-york-gray-malin-sicilian-tangerine-reed-diffuser"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-840732122348-1.jpg?v=1655223498"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19860016838&type=2&subid=0"" >","Bluemercury, Inc.","Gray Malin Sicilian Tangerine Reed Diffuser","19860016838","56.0","Diffusers"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19936657104&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fdr-barbara-sturm-hydrating-conditoner"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-4260521261939-1.jpg?v=1655394258"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19936657104&type=2&subid=0"" >","Bluemercury, Inc.","Hydrating Conditoner","19936657104","60.0","Conditioners"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19936656990&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fphilip-kingsley-body-building-discovery-collection"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-5060771202374-1.jpg?v=1655252191"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19936656990&type=2&subid=0"" >","Bluemercury, Inc.","Body Building Discovery Collection","19936656990","39.0","Hair Sets"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19505168278&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fwander-beauty-double-date-lip-and-cheek"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/variant_images-color-bemineswipe-852367006962-1.jpg?v=1655312283"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19505168278&type=2&subid=0"" >","Bluemercury, Inc.","Double Date Lip and Cheek","19505168278","24.0","Blush"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415515402&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Folaplex-no-5-bond-maintenance-conditioner"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/variant_images-size-85floz250ml-896364002435-1.jpg?v=1655405260"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415515402&type=2&subid=0"" >","Bluemercury, Inc.","No.5 Bond Maintenance Conditioner","19415515402","28.0","Conditioners"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19772160588&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fsio-beauty-eye-and-smile-lift-four-pack-spring"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-856580006860-1.jpg?v=1655138027"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19772160588&type=2&subid=0"" >","Bluemercury, Inc.","Eye and Smile Lift 4-pack","19772160588","29.95","Eye Masks"
