"LINK CODE","ADVERTISER","LINK NAME","LINK ID","RETAIL PRICE","CATEGORY"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=803538.5060283074766&type=2&murl=https%3A%2F%2Fwww.macys.com%2Fshop%2Fproduct%2Faromaworks-light-range-basil-lime-candle-7.75-oz%3FID%3D10996348%26PartnerID%3DLINKSHARE%26cm_mmc%3DLINKSHARE-_-4-_-0-_-MP40&LSNSUBSITE=PR"" rel=""nofollow""><IMG border=0 src=""https://slimages.macysassets.com/is/image/MCY/products/3/optimized/16977003_fpx.tif?wid=1200&fmt=jpeg&qlt=100"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=803538.5060283074766&type=2&subid=0"" >","Macys.com","AromaWorks Light Range Basil and Lime Candle, 7.75 oz","5060283074766","22.5","Beauty"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=803538.5060393042839&type=2&murl=https%3A%2F%2Fwww.macys.com%2Fshop%2Fproduct%2Fscentered-wellbeing-ritual-aromatherapy-mini-balms-0.05-oz-each%3FID%3D10570017%26PartnerID%3DLINKSHARE%26cm_mmc%3DLINKSHARE-_-4-_-0-_-MP40&LSNSUBSITE=PR"" rel=""nofollow""><IMG border=0 src=""https://slimages.macysassets.com/is/image/MCY/products/3/optimized/16705593_fpx.tif?wid=1200&fmt=jpeg&qlt=100"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=803538.5060393042839&type=2&subid=0"" >","Macys.com","Scentered Wellbeing Ritual Aromatherapy Mini Balms, 0.05 oz each","5060393042839","33.0","Beauty"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=803538.3346130011262&type=2&murl=https%3A%2F%2Fwww.macys.com%2Fshop%2Fproduct%2Fhermes-caleche-soie-de-parfum-spray-1.6-oz.%3FID%3D14128887%26PartnerID%3DLINKSHARE%26cm_mmc%3DLINKSHARE-_-4-_-0-_-MP40&LSNSUBSITE=PR"" rel=""nofollow""><IMG border=0 src=""https://slimages.macysassets.com/is/image/MCY/products/4/optimized/21816354_fpx.tif?wid=1200&fmt=jpeg&qlt=100"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=803538.3346130011262&type=2&subid=0"" >","Macys.com","HERMES Caleche Soie de Parfum Spray, 1.6 oz.","3346130011262","150.0","Beauty"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=803538.5060393040293&type=2&murl=https%3A%2F%2Fwww.macys.com%2Fshop%2Fproduct%2Fscentered-escape-wellbeing-ritual-aromatherapy-balm-0.17-oz%3FID%3D10570038%26PartnerID%3DLINKSHARE%26cm_mmc%3DLINKSHARE-_-4-_-0-_-MP40&LSNSUBSITE=PR"" rel=""nofollow""><IMG border=0 src=""https://slimages.macysassets.com/is/image/MCY/products/6/optimized/16705566_fpx.tif?wid=1200&fmt=jpeg&qlt=100"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=803538.5060393040293&type=2&subid=0"" >","Macys.com","Scentered Escape Wellbeing Ritual Aromatherapy Balm, 0.17 oz","5060393040293","24.0","Beauty"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=803538.3355991221987&type=2&murl=https%3A%2F%2Fwww.macys.com%2Fshop%2Fproduct%2Fcarven-leau-intense-eau-de-toilette-1.7-oz%3FID%3D8236726%26PartnerID%3DLINKSHARE%26cm_mmc%3DLINKSHARE-_-4-_-0-_-MP40&LSNSUBSITE=PR"" rel=""nofollow""><IMG border=0 src=""https://slimages.macysassets.com/is/image/MCY/products/1/optimized/11564891_fpx.tif?wid=1200&fmt=jpeg&qlt=100"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=803538.3355991221987&type=2&subid=0"" >","Macys.com","Carven L'Eau Intense Eau de Toilette, 1.7 oz","3355991221987","75.0","Beauty"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=803538.628176191584&type=2&murl=https%3A%2F%2Fwww.macys.com%2Fshop%2Fproduct%2Fdot-lil-peony-olive-soy-candle%3FID%3D10529494%26PartnerID%3DLINKSHARE%26cm_mmc%3DLINKSHARE-_-4-_-0-_-MP40&LSNSUBSITE=PR"" rel=""nofollow""><IMG border=0 src=""https://slimages.macysassets.com/is/image/MCY/products/3/optimized/16573953_fpx.tif?wid=1200&fmt=jpeg&qlt=100"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=803538.628176191584&type=2&subid=0"" >","Macys.com","Dot & Lil Peony Olive Soy Candle","628176191584","22.0","Beauty"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=803538.5060283071994&type=2&murl=https%3A%2F%2Fwww.macys.com%2Fshop%2Fproduct%2Faromaworks-light-range-mandarin-vetivert-candle-7.75-oz%3FID%3D10996358%26PartnerID%3DLINKSHARE%26cm_mmc%3DLINKSHARE-_-4-_-0-_-MP40&LSNSUBSITE=PR"" rel=""nofollow""><IMG border=0 src=""https://slimages.macysassets.com/is/image/MCY/products/0/optimized/16976960_fpx.tif?wid=1200&fmt=jpeg&qlt=100"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=803538.5060283071994&type=2&subid=0"" >","Macys.com","AromaWorks Light Range Mandarin and Vetivert Candle, 7.75 oz","5060283071994","22.5","Beauty"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=803538.874034011581&type=2&murl=https%3A%2F%2Fwww.macys.com%2Fshop%2Fproduct%2Fclean-fragrance-rain-room-spray-5-oz.%3FID%3D10374522%26PartnerID%3DLINKSHARE%26cm_mmc%3DLINKSHARE-_-4-_-0-_-MP40&LSNSUBSITE=PR"" rel=""nofollow""><IMG border=0 src=""https://slimages.macysassets.com/is/image/MCY/products/3/optimized/15781663_fpx.tif?wid=1200&fmt=jpeg&qlt=100"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=803538.874034011581&type=2&subid=0"" >","Macys.com","Clean Fragrance Rain Room Spray, 5-oz.","874034011581","25.0","Beauty"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=803538.850015641060&type=2&murl=https%3A%2F%2Fwww.macys.com%2Fshop%2Fproduct%2Fapotheke-magnolia-bouquet-lotion-10-oz.%3FID%3D10903369%26PartnerID%3DLINKSHARE%26cm_mmc%3DLINKSHARE-_-4-_-0-_-MP40&LSNSUBSITE=PR"" rel=""nofollow""><IMG border=0 src=""https://slimages.macysassets.com/is/image/MCY/products/3/optimized/17306353_fpx.tif?wid=1200&fmt=jpeg&qlt=100"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=803538.850015641060&type=2&subid=0"" >","Macys.com","Apotheke Magnolia Bouquet Lotion, 10-oz.","850015641060","22.0","Beauty"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=803538.850006570928&type=2&murl=https%3A%2F%2Fwww.macys.com%2Fshop%2Fproduct%2Fbroken-top-candle-co.-lavender-mint-bar-soap-5.5-oz.%3FID%3D10903374%26PartnerID%3DLINKSHARE%26cm_mmc%3DLINKSHARE-_-4-_-0-_-MP40&LSNSUBSITE=PR"" rel=""nofollow""><IMG border=0 src=""https://slimages.macysassets.com/is/image/MCY/products/1/optimized/17286181_fpx.tif?wid=1200&fmt=jpeg&qlt=100"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=803538.850006570928&type=2&subid=0"" >","Macys.com","Broken Top Candle Co. Lavender Mint Bar Soap, 5.5-oz.","850006570928","11.0","Beauty"
